Apple Butter Tenderloin,0,pork,"{'Pork Tenderloin': ['Lb', 2], 'Brown Sugar': ['Tbsp', 1], 'Smoked Paprika': ['Tsp', 1], 'Garlic Powder': ['Tsp', 0.5], 'Dry Thyme': ['Tsp', 0.5], 'Apple Butter': ['Cup', 0.75], 'Apple Cider Vinegar': ['Tbsp', 1], 'Whole Grain Mustard': ['Tbsp', 1]}",bbq,None,1
Artichokes a la Barigoule,1,veggie,"{'Artichoke': ['Each', 2], 'Olive Oil': ['Tbsp', 3], 'Yellow Onion': ['Each', 1], 'Carrot': ['Each', 1], 'Garlic': ['Clove', 3], 'White Wine': ['Cup', 0.5], 'Chicken Stock': ['Cup', 0.75], 'Flat-Leaf Parsley': ['Tbsp', 3], 'Fresh Thyme': ['Tsp', 2], 'Bay Leaf': ['Each', 1], 'Unsalted Butter': ['Tbsp', 1]}",new,None,1
Asiago Fettuccine,0,veggie,"{'Garlic': ['Each', 1], 'Olive Oil': ['Tbsp', 2], 'Fettuccine': ['Lb', 0.5], 'Vidalia Onion': ['Each', 0.25], 'Heavy Cream': ['Cup', 1], 'Asiago Cheese': ['Cup', 1]}",new,pasta,1
Asiago Fettuccine Chicken,0,chicken,"{'Chicken Breast': ['Lb', 0.5], 'Garlic': ['Each', 1], 'Olive Oil': ['Tbsp', 2], 'Fettuccine': ['Lb', 0.5], 'Vidalia Onion': ['Each', 0.25], 'Heavy Cream': ['Cup', 1], 'Asiago Cheese': ['Cup', 1]}",new,pasta,1
Asiago Fettuccine Shrimp,0,seafood,"{'Shrimp': ['Lb', 0.5], 'Garlic': ['Each', 1], 'Olive Oil': ['Tbsp', 2], 'Fettuccine': ['Lb', 0.5], 'Vidalia Onion': ['Each', 0.25], 'Heavy Cream': ['Cup', 1], 'Asiago Cheese': ['Cup', 1]}",new,pasta,1
Bang-Bang Chicken,0,chicken,"{'Chicken Breast': ['Lb', 1], 'Buttermilk': ['Cup', 0.5], 'Egg': ['Each', 1], 'All-Purpose Flour': ['Cup', 0.75], 'Cornstarch': ['Cup', 0.25], 'Onion Powder': ['Tsp', 0.5], 'Garlic Powder': ['Tsp', 0.75], 'Chili Powder': ['Tsp', 0.25], 'Panko': ['Cup', 1], 'Mayonnaise': ['Cup', 0.5], 'Sweet Chili Sauce': ['Cup', 0.25], 'Frank Hot Sauce': ['Tbsp', 2], 'White Vinegar': ['Tsp', 1], 'Granulated Sugar': ['Tsp', 0.5]}",new,None,1
Bang-Bang Shrimp,0,seafood,"{'Shrimp': ['Lb', 1], 'Buttermilk': ['Cup', 0.5], 'Egg': ['Each', 1], 'All-Purpose Flour': ['Cup', 0.75], 'Cornstarch': ['Cup', 0.25], 'Onion Powder': ['Tsp', 0.5], 'Garlic Powder': ['Tsp', 0.75], 'Chili Powder': ['Tsp', 0.25], 'Panko': ['Cup', 1], 'Mayonnaise': ['Cup', 0.5], 'Sweet Chili Sauce': ['Cup', 0.25], 'Frank Hot Sauce': ['Tbsp', 2], 'White Vinegar': ['Tsp', 1], 'Granulated Sugar': ['Tsp', 0.5]}",new,None,1
BBQ Pork,1,pork,"{'Pork Shoulder': ['Lb', 5], 'Garlic': ['Clove', 2], 'Garlic Powder': ['Tbsp', 1], 'Paprika': ['Tbsp', 3], 'Brown Sugar': ['Cup', 0.5], 'Dry Mustard': ['Tbsp', 1], 'Apple Cider Vinegar': ['Cup', 1.5], 'Ketchup': ['Cup', 0.5], 'Brown Mustard': ['Cup', 1], 'Cayenne Pepper': ['Tsp', 1], 'Hamburger Bun': ['Each', 2]}",bbq,None,1
Beef Bourguignon Slow Cooker,1,beef,"{'Beef Chuck Roast': ['Lb', 1], 'All-Purpose Flour': ['Tbsp', 1], 'Pearl Onion': ['Dry Oz', 1], 'Carrot': ['Each', 2], 'Garlic': ['Clove', 2], 'Burgundy Red Wine': ['Cup', 1], 'Fresh Thyme': ['Each', 0.5], 'Brown Mushrooms': ['Dry Oz', 4], 'Olive Oil': ['Tbsp', 1], 'Kosher Salt': ['Tsp', 1], 'Cognac': ['Cup', 0.25], 'Beef Stock': ['Cup', 1], 'Tomato Paste': ['Tbsp', 0.5], 'Yellow Onion': ['Each', 0.25], 'Gold Potato': ['Lb', 0.25]}",new,beef stew,1
Beef Bourguinon,1,beef,"{'Beef Chuck Roast': ['Lb', 2], 'All-Purpose Flour': ['Cup', 0.25], 'Butter': ['Tbsp', 4], 'Pearl Onion': ['Dry Oz', 2], 'Carrot': ['Each', 2], 'Garlic': ['Clove', 2], 'Burgundy Red Wine': ['Cup', 2], 'Bay Leaf': ['Each', 1], 'Fresh Thyme': ['Tsp', 1], 'Brown Mushrooms': ['Dry Oz', 8]}",soup,beef stew,1
